SessionID,ParticipantCode,FinalPageVisited,GroupID,ID_in_Group,Treatment,Round,SubgroupID,ID_in_Subgroup,S1,S2,S3,SelfProposal,Selected_Proposal,Vote,Approved,Num_of_Approvals,Earnings,CompletionCode
12,lte762ld,SyncBottom,6,7,Baseline,3,,,,,,,{},0,0,0,0.0,
13,8yrdlcfh,Part4,46,8,Priming,1,3.0,2.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 3, ""proposal"": {""s1"": 0, ""s2"": 0, ""s3"": 30}}, ""2"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
13,8yrdlcfh,Part4,46,8,Priming,2,2.0,2.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 1, ""proposal"": {""s1"": 20, ""s2"": 5, ""s3"": 5}}}",1,1,3,10.0,
13,8yrdlcfh,Part4,46,8,Priming,3,1.0,1.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 2, ""proposal"": {""s1"": 8, ""s2"": 15, ""s3"": 7}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,8.0,
14,ibrrflhc,ExperimentInstructions,,14,Baseline,1,,,,,,,{},0,0,0,0.0,
14,ibrrflhc,ExperimentInstructions,,14,Baseline,2,,,,,,,{},0,0,0,0.0,
14,ibrrflhc,ExperimentInstructions,,14,Baseline,3,,,,,,,{},0,0,0,0.0,
15,1yec0poj,WelcomePage,,15,Baseline,1,,,,,,,{},0,0,0,0.0,
15,1yec0poj,WelcomePage,,15,Baseline,2,,,,,,,{},0,0,0,0.0,
15,1yec0poj,WelcomePage,,15,Baseline,3,,,,,,,{},0,0,0,0.0,
16,zi1ppt71,SyncBottom,6,4,Baseline,1,3.0,3.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 1, ""proposal"": {""s1"": 20, ""s2"": 5, ""s3"": 5}}}",1,1,3,5.0,
16,zi1ppt71,SyncBottom,6,4,Baseline,2,3.0,2.0,5.0,20.0,5.0,20.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 2, ""proposal"": {""s1"": 5, ""s2"": 20, ""s3"": 5}}}",1,1,2,20.0,
16,zi1ppt71,SyncBottom,6,4,Baseline,3,,,,,,,{},0,0,0,0.0,
17,acmbo8jo,SyncBottom,6,9,Baseline,1,1.0,2.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 1, ""proposal"": {""s1"": 20, ""s2"": 5, ""s3"": 5}}}",1,1,3,10.0,
